COURSE CODE ,"23MCA1CC4   
",,,,,,TITLE OF THE COURSE ,,,,Resource Management Techniques,,,,,,,,,,,,,,Total No. of Students,,,,58.00,,,,,
Register Number,Q.No./ Exam,,LOT,MOT,HOT,TOTAL Not needed for Calc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CIA - II,,12,5,0,17.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ass - I,3,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ass - II,3,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,31,22,0,53.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESE,,17,28,6,51.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23MCA090,CIA - I,,21,30,0,51.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CIA - II,,14,14,0,28.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ass - I,3,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ass - II,3,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,35,44,0,79.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESE,,16,31,8,55.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23MCA085,CIA - I,,23,20,0,43.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CIA - II,,12,8,0,20.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ass - I,3,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ass - II,3,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,35,28,0,63.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESE,,19,28,0,47.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23MCA086,CIA - I,,17,18,5,40.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CIA - II,,8,15,0,23.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ass - I,3,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ass - II,3,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,25,33,5,63.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESE,,20,32,8,60.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23MCA068,CIA - I,,13,23,7,43.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CIA - II,,13,20,0,33.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ass - I,3,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ass - II,3,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,26,43,7,76.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESE,,17,27,7,51.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23MCA061,CIA - I,,18,28,8,54.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CIA - II,,28,23,0,51.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ass - I,3,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ass - II,3,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,46,51,8,105.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESE,,23,30,5,58.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23MCA089,CIA - I,,16,15,0,31.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CIA - II,,10,12,0,22.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ass - I,3,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ass - II,3,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,26,27,0,53.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESE,,19,31,8,58.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
